"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2013","Hungary","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Hungary","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Malta","Total","Males","Less than 18 years","Asylum applicant","Person","450"
"2013","Malta","Total","Males","From 18 to 34 years","Asylum applicant","Person","1,270"
"2013","Malta","Total","Males","From 35 to 64 years","Asylum applicant","Person","145"
"2013","Malta","Total","Males","65 years or over","Asylum applicant","Person","5"
"2013","Malta","Total","Males","Unknown","Asylum applicant","Person","5"
"2013","Malta","Total","Females","Less than 18 years","Asylum applicant","Person","95"
"2013","Malta","Total","Females","From 18 to 34 years","Asylum applicant","Person","240"
"2013","Malta","Total","Females","From 35 to 64 years","Asylum applicant","Person","35"
"2013","Malta","Total","Females","65 years or over","Asylum applicant","Person","0"
"2013","Malta","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Malta","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Malta","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Malta","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Malta","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Malta","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Netherlands","Total","Males","Less than 18 years","Asylum applicant","Person","1,840"
"2013","Netherlands","Total","Males","From 18 to 34 years","Asylum applicant","Person","4,435"
"2013","Netherlands","Total","Males","From 35 to 64 years","Asylum applicant","Person","1,970"
"2013","Netherlands","Total","Males","65 years or over","Asylum applicant","Person","85"
"2013","Netherlands","Total","Males","Unknown","Asylum applicant","Person","70"
"2013","Netherlands","Total","Females","Less than 18 years","Asylum applicant","Person","1,560"
"2013","Netherlands","Total","Females","From 18 to 34 years","Asylum applicant","Person","1,960"
"2013","Netherlands","Total","Females","From 35 to 64 years","Asylum applicant","Person","1,050"
"2013","Netherlands","Total","Females","65 years or over","Asylum applicant","Person","110"
"2013","Netherlands","Total","Females","Unknown","Asylum applicant","Person","20"
"2013","Netherlands","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Netherlands","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Netherlands","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Netherlands","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Netherlands","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Austria","Total","Males","Less than 18 years","Asylum applicant","Person","3,470"
"2013","Austria","Total","Males","From 18 to 34 years","Asylum applicant","Person","7,010"
"2013","Austria","Total","Males","From 35 to 64 years","Asylum applicant","Person","2,015"
"2013","Austria","Total","Males","65 years or over","Asylum applicant","Person","55"
"2013","Austria","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Austria","Total","Females","Less than 18 years","Asylum applicant","Person","2,245"
"2013","Austria","Total","Females","From 18 to 34 years","Asylum applicant","Person","1,645"
"2013","Austria","Total","Females","From 35 to 64 years","Asylum applicant","Person","1,010"
"2013","Austria","Total","Females","65 years or over","Asylum applicant","Person","70"
"2013","Austria","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Austria","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Austria","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Austria","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Austria","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Austria","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Poland","Total","Males","Less than 18 years","Asylum applicant","Person","3,955"
"2013","Poland","Total","Males","From 18 to 34 years","Asylum applicant","Person","2,510"
"2013","Poland","Total","Males","From 35 to 64 years","Asylum applicant","Person","1,345"
"2013","Poland","Total","Males","65 years or over","Asylum applicant","Person","30"
"2013","Poland","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Poland","Total","Females","Less than 18 years","Asylum applicant","Person","3,610"
"2013","Poland","Total","Females","From 18 to 34 years","Asylum applicant","Person","2,495"
